车辆类型,排放类型,speed_kmh,acceleration_m/s2,排放因子_g/s
小轿车,NOx,119,-1.9,2.46343888888889e-05
小轿车,NOx,120,-1.9,2.46343888888889e-05
小轿车,NOx,121,-1.9,2.46343888888889e-05
小轿车,NOx,122,-1.9,2.46343888888889e-05
小轿车,NOx,123,-1.9,2.46343888888889e-05
小轿车,NOx,124,-1.9,2.46343888888889e-05
小轿车,NOx,125,-1.9,2.46343888888889e-05
小轿车,NOx,126,-1.9,2.46343888888889e-05
小轿车,NOx,127,-1.9,2.46343888888889e-05
小轿车,NOx,128,-1.9,2.46343888888889e-05
小轿车,NOx,129,-1.9,2.46343888888889e-05
小轿车,NOx,130,-1.9,2.46343888888889e-05
小轿车,NOx,131,-1.9,2.46343888888889e-05
小轿车,NOx,132,-1.9,2.46343888888889e-05
小轿车,NOx,133,-1.9,2.46343888888889e-05
小轿车,NOx,134,-1.9,2.46343888888889e-05
小轿车,NOx,135,-1.9,2.46343888888889e-05
小轿车,NOx,136,-1.9,2.46343888888889e-05
小轿车,NOx,137,-1.9,2.46343888888889e-05
小轿车,NOx,138,-1.9,2.46343888888889e-05
小轿车,NOx,139,-1.9,2.46343888888889e-05
小轿车,NOx,140,-1.9,2.46343888888889e-05
小轿车,NOx,0,-1.8,2.46343888888889e-05
小轿车,NOx,1,-1.8,2.46343888888889e-05
小轿车,NOx,2,-1.8,2.46343888888889e-05
小轿车,NOx,3,-1.8,2.46343888888889e-05
小轿车,NOx,4,-1.8,2.46343888888889e-05
小轿车,NOx,5,-1.8,2.46343888888889e-05
小轿车,NOx,6,-1.8,2.46343888888889e-05
小轿车,NOx,7,-1.8,2.46343888888889e-05
小轿车,NOx,8,-1.8,2.46343888888889e-05
小轿车,NOx,9,-1.8,2.46343888888889e-05
小轿车,NOx,10,-1.8,2.46343888888889e-05
小轿车,NOx,11,-1.8,2.46343888888889e-05
小轿车,NOx,12,-1.8,2.46343888888889e-05
小轿车,NOx,13,-1.8,2.46343888888889e-05
小轿车,NOx,14,-1.8,2.46343888888889e-05
小轿车,NOx,15,-1.8,2.46343888888889e-05
小轿车,NOx,16,-1.8,2.46343888888889e-05
小轿车,NOx,17,-1.8,2.46343888888889e-05
小轿车,NOx,18,-1.8,2.46343888888889e-05
小轿车,NOx,19,-1.8,2.46343888888889e-05
小轿车,NOx,20,-1.8,2.46343888888889e-05
小轿车,NOx,21,-1.8,2.46343888888889e-05
小轿车,NOx,22,-1.8,2.46343888888889e-05
小轿车,NOx,23,-1.8,2.46343888888889e-05
小轿车,NOx,24,-1.8,2.46343888888889e-05
小轿车,NOx,25,-1.8,2.46343888888889e-05
小轿车,NOx,26,-1.8,2.46343888888889e-05
小轿车,NOx,27,-1.8,2.46343888888889e-05
小轿车,NOx,28,-1.8,2.46343888888889e-05
小轿车,NOx,29,-1.8,2.46343888888889e-05
小轿车,NOx,30,-1.8,2.46343888888889e-05
小轿车,NOx,31,-1.8,2.46343888888889e-05
小轿车,NOx,32,-1.8,2.46343888888889e-05
小轿车,NOx,33,-1.8,2.46343888888889e-05
小轿车,NOx,34,-1.8,2.46343888888889e-05
小轿车,NOx,35,-1.8,2.46343888888889e-05
小轿车,NOx,36,-1.8,2.46343888888889e-05
小轿车,NOx,37,-1.8,2.46343888888889e-05
小轿车,NOx,38,-1.8,2.46343888888889e-05
小轿车,NOx,39,-1.8,2.46343888888889e-05
小轿车,NOx,40,-1.8,2.46343888888889e-05
小轿车,NOx,41,-1.8,2.46343888888889e-05
小轿车,NOx,42,-1.8,2.46343888888889e-05
小轿车,NOx,43,-1.8,2.46343888888889e-05
小轿车,NOx,44,-1.8,2.46343888888889e-05
小轿车,NOx,45,-1.8,2.46343888888889e-05
小轿车,NOx,46,-1.8,2.46343888888889e-05
小轿车,NOx,47,-1.8,2.46343888888889e-05
小轿车,NOx,48,-1.8,2.46343888888889e-05
小轿车,NOx,49,-1.8,2.46343888888889e-05
小轿车,NOx,50,-1.8,2.46343888888889e-05
小轿车,NOx,51,-1.8,2.46343888888889e-05
小轿车,NOx,52,-1.8,2.46343888888889e-05
小轿车,NOx,53,-1.8,2.46343888888889e-05
小轿车,NOx,54,-1.8,2.46343888888889e-05
小轿车,NOx,55,-1.8,2.46343888888889e-05
小轿车,NOx,56,-1.8,2.46343888888889e-05
小轿车,NOx,57,-1.8,2.46343888888889e-05
小轿车,NOx,58,-1.8,2.46343888888889e-05
小轿车,NOx,59,-1.8,2.46343888888889e-05
小轿车,NOx,60,-1.8,2.46343888888889e-05
小轿车,NOx,61,-1.8,2.46343888888889e-05
小轿车,NOx,62,-1.8,2.46343888888889e-05
小轿车,NOx,63,-1.8,2.46343888888889e-05
小轿车,NOx,64,-1.8,2.46343888888889e-05
小轿车,NOx,65,-1.8,2.46343888888889e-05
小轿车,NOx,66,-1.8,2.46343888888889e-05
小轿车,NOx,67,-1.8,2.46343888888889e-05
小轿车,NOx,68,-1.8,2.46343888888889e-05
小轿车,NOx,69,-1.8,2.46343888888889e-05
小轿车,NOx,70,-1.8,2.46343888888889e-05
小轿车,NOx,71,-1.8,2.46343888888889e-05
